name,type,row_count,error
lesson_progress,table,0,
lesson_versions,table,0,
linkedin_signals,table,0,
mcp_prompt_registry,table,0,
meauxbility_interactions,table,0,
meauxbility_resources,table,0,
media_assets,table,0,
media_collection_items,table,0,
media_collections,table,0,
media_gallery,table,0,
media_items,table,0,
media_scenes,table,0,
memory_retrieval_index,table,0,
message_reactions,table,0,
message_threads,table,0,
messages,table,0,
moviemode_edit_sessions,table,0,
moviemode_exports,table,0,
moviemode_projects,table,0,
moviemode_render_jobs,table,0,
moviemode_timelines,table,0,
oauth_refresh_tokens,table,0,
oauth_state_nonces,table,0,
org_intelligence,table,0,
page_monitors,table,0,
password_resets,table,0,
pattern_applicability,table,0,
pattern_categories,table,0,
pattern_confidence_events,table,0,
pattern_sources,table,0,
pattern_tag_map,table,0,
pattern_tags,table,0,
pattern_usage,table,0,
patterns,table,0,
playbook_patterns,table,0,
playbook_steps,table,0,
playbooks,table,0,
program_goals,table,0,
project_draws,table,0,
project_execution_audit,table,0,
project_outcomes,table,0,
prompt_templates,table,0,
prompt_transformations,table,0,
quiz_answers,table,0,
quiz_attempts,table,0,
r2_bucket_class_daily,table,0,
r2_bucket_largest,table,0,
r2_deploy_manifest_objects,table,0,
r2_deploy_manifests,table,0,
r2_object_media,table,0,
received_emails,table,0,
recovery_log,table,0,
recurring_finance_runs,table,0,
routing_decisions,table,0,
scout_activity_log,table,0,
scout_locations,table,0,
scout_profiles,table,0,
scout_verifications,table,0,
spend_alerts,table,0,
state_snapshot_contents,table,0,
state_snapshots,table,0,
storage_policies,table,0,
stripe_webhooks,table,0,
subscription_features,table,0,
super_admin_audit,table,0,
table_versions,table,0,
task_activity,table,0,
task_attachments,table,0,
task_comments,table,0,
test_suite_comparisons,table,0,
theme_access,table,0,
ticket_tags,table,0,
tool_capability_mapping,table,0,
transaction_enrichment_cache,table,0,
ui_guidelines,table,0,
usage_rollups_daily,table,0,
user_draw_library_prefs,table,0,
user_storage_provider_preferences,table,0,
user_workspace_settings,table,0,
vectorize_indexed_docs,table,0,
warm_intros,table,0,
workspace_tool_access,table,0,
_cf_KV,table,,"HTTP 400: {""messages"":[],""result"":[],""success"":false,""errors"":[{""code"":7500,""message"":""not authorized: SQLITE_AUTH""}]}"
